3554,AL,4,Tirana,Tirana,,,,Capital city and economic center
35522,AL,22,Shkodër,Shkodër,,,,Cultural center of northern Albania
35533,AL,33,Vlorë,Vlorë,,,,Major port city and tourism hub
35552,AL,52,Durrës,Durrës,,,,Main port of Albania  ancient city
35554,AL,54,Elbasan,Elbasan,,,,Industrial city in central Albania
35582,AL,82,Korçë,Korçë,,,,Cultural capital  known for serenades
35534,AL,34,Fier,Fier,,,,Important industrial and agricultural center
35532,AL,32,Berat,Berat,,,,The 'Town of a Thousand Windows'  UNESCO site
35584,AL,84,Gjirokastër,Gjirokastër,,,,UNESCO World Heritage site  stone city
35524,AL,24,Kukës,Kukës,,,,Northern city  Nobel Peace Prize nominee
